time,price,volume
2020-04-28 15:58:00,50100,18
2020-04-28 15:57:00,50100,10
2020-04-28 15:56:00,50100,245
2020-04-28 15:55:00,50100,49
2020-04-28 15:54:00,50100,1117
2020-04-28 15:53:00,50100,319
2020-04-28 15:52:00,50100,1987
2020-04-28 15:51:00,50100,609
2020-04-28 15:50:00,50100,62
2020-04-28 15:49:00,50100,306
2020-04-28 15:48:00,50100,1246
2020-04-28 15:47:00,50100,225
2020-04-28 15:46:00,50100,505
2020-04-28 15:45:00,50100,1782
2020-04-28 15:44:00,50100,1275
2020-04-28 15:43:00,50100,2345
2020-04-28 15:42:00,50100,651
2020-04-28 15:41:00,50100,359
2020-04-28 15:40:00,50100,33641
2020-04-28 15:30:00,50100,1583662
2020-04-28 15:19:00,49950,90382
2020-04-28 15:18:00,49950,143875
2020-04-28 15:17:00,49950,70522
2020-04-28 15:16:00,49950,142632
2020-04-28 15:15:00,49900,44877
2020-04-28 15:14:00,49850,83601
2020-04-28 15:13:00,49850,52089
2020-04-28 15:12:00,49850,46821
2020-04-28 15:11:00,49850,87922
2020-04-28 15:10:00,49900,19884
2020-04-28 15:09:00,49850,20100
2020-04-28 15:08:00,49850,23337
2020-04-28 15:07:00,49850,172844
2020-04-28 15:06:00,49800,149021
2020-04-28 15:05:00,49750,8241
2020-04-28 15:04:00,49750,15365
2020-04-28 15:03:00,49750,9313
2020-04-28 15:02:00,49750,69292
2020-04-28 15:01:00,49700,59927
2020-04-28 15:00:00,49650,54444
2020-04-28 14:59:00,49700,11440
2020-04-28 14:58:00,49750,71706
2020-04-28 14:57:00,49750,9669
2020-04-28 14:56:00,49750,7475
2020-04-28 14:55:00,49750,91097
2020-04-28 14:54:00,49700,6699
2020-04-28 14:53:00,49700,125995
2020-04-28 14:52:00,49650,15038
2020-04-28 14:51:00,49650,23188
2020-04-28 14:50:00,49700,4929
2020-04-28 14:49:00,49650,107392
2020-04-28 14:48:00,49650,6108
2020-04-28 14:47:00,49600,16248
2020-04-28 14:46:00,49600,128609
2020-04-28 14:45:00,49700,6511
2020-04-28 14:44:00,49650,9316
2020-04-28 14:43:00,49650,125723
2020-04-28 14:42:00,49700,6730
2020-04-28 14:41:00,49700,5796
2020-04-28 14:40:00,49700,3681
2020-04-28 14:39:00,49700,4941
2020-04-28 14:38:00,49750,12078
2020-04-28 14:37:00,49700,4869
2020-04-28 14:36:00,49750,34586
2020-04-28 14:35:00,49750,90407
2020-04-28 14:34:00,49650,130597
2020-04-28 14:33:00,49750,13689
2020-04-28 14:32:00,49750,8136
2020-04-28 14:31:00,49750,7680
2020-04-28 14:30:00,49700,6555
2020-04-28 14:29:00,49750,4293
2020-04-28 14:28:00,49700,6961
2020-04-28 14:27:00,49750,29915
2020-04-28 14:26:00,49800,5301
2020-04-28 14:25:00,49800,100538
2020-04-28 14:24:00,49700,2719
2020-04-28 14:23:00,49700,4619
2020-04-28 14:22:00,49700,4190
2020-04-28 14:21:00,49750,3100
2020-04-28 14:20:00,49750,19227
2020-04-28 14:19:00,49750,38826
2020-04-28 14:18:00,49800,94652
2020-04-28 14:17:00,49750,6992
2020-04-28 14:16:00,49700,4726
2020-04-28 14:15:00,49750,4750
2020-04-28 14:14:00,49700,4194
2020-04-28 14:13:00,49750,34607
2020-04-28 14:12:00,49800,21162
2020-04-28 14:11:00,49800,70666
2020-04-28 14:10:00,49800,196026
2020-04-28 14:09:00,49700,7434
2020-04-28 14:08:00,49700,4392
2020-04-28 14:07:00,49700,3765
2020-04-28 14:06:00,49650,77380
2020-04-28 14:05:00,49600,3333
2020-04-28 14:04:00,49650,4726
2020-04-28 14:03:00,49600,6085
2020-04-28 14:02:00,49600,139945
2020-04-28 14:01:00,49550,7106
2020-04-28 14:00:00,49600,198788
2020-04-28 13:59:00,49600,8964
2020-04-28 13:58:00,49600,11959
2020-04-28 13:57:00,49600,6543
2020-04-28 13:56:00,49650,6365
2020-04-28 13:55:00,49600,9963
2020-04-28 13:54:00,49600,13415
2020-04-28 13:53:00,49650,6723
2020-04-28 13:52:00,49600,17498
2020-04-28 13:51:00,49600,20300
2020-04-28 13:50:00,49650,15586
2020-04-28 13:49:00,49650,11630
2020-04-28 13:48:00,49600,4967
2020-04-28 13:47:00,49600,6555
2020-04-28 13:46:00,49600,5109
2020-04-28 13:45:00,49650,17602
2020-04-28 13:44:00,49650,15481
2020-04-28 13:43:00,49600,4038
2020-04-28 13:42:00,49600,4781
2020-04-28 13:41:00,49650,7180
2020-04-28 13:40:00,49650,3882
2020-04-28 13:39:00,49600,3756
2020-04-28 13:38:00,49600,5262
2020-04-28 13:37:00,49650,6457
2020-04-28 13:36:00,49600,10186
2020-04-28 13:35:00,49600,3985
2020-04-28 13:34:00,49650,4225
2020-04-28 13:33:00,49600,7642
2020-04-28 13:32:00,49600,4630
2020-04-28 13:31:00,49650,4212
2020-04-28 13:30:00,49600,4899
2020-04-28 13:29:00,49650,223301
2020-04-28 13:28:00,49500,9267
2020-04-28 13:27:00,49550,12329
2020-04-28 13:26:00,49500,7838
2020-04-28 13:25:00,49550,15444
2020-04-28 13:24:00,49500,11751
2020-04-28 13:23:00,49550,15946
2020-04-28 13:22:00,49500,11539
2020-04-28 13:21:00,49500,22379
2020-04-28 13:20:00,49500,8961
2020-04-28 13:19:00,49500,8708
2020-04-28 13:18:00,49500,17263
2020-04-28 13:17:00,49500,13126
2020-04-28 13:16:00,49550,11086
2020-04-28 13:15:00,49500,10303
2020-04-28 13:14:00,49500,8310
2020-04-28 13:13:00,49500,5891
2020-04-28 13:12:00,49500,29972
2020-04-28 13:11:00,49500,6089
2020-04-28 13:10:00,49550,6820
2020-04-28 13:09:00,49500,5081
2020-04-28 13:08:00,49500,11073
2020-04-28 13:07:00,49550,99887
2020-04-28 13:06:00,49550,17444
2020-04-28 13:05:00,49600,4161
2020-04-28 13:04:00,49600,85708
2020-04-28 13:03:00,49600,4919
2020-04-28 13:02:00,49650,4372
